repository_name,pushes
codeforamerica.org,4997
honolulu_answers,1162
public-records,1063
openblight,1043
opencounter,1025
in-n-out,849
prepared.ly,848
brigade,834
textizen,795
human_services_finder,769
streetmix,672
follow-all,640
adopt-a-hydrant,612
blockee,573
landshark,571
ticket-to-ride,555
homebase,530
annual,487
ohana-web-search,484
ohana-api,483
textyourcity,465
cfawp2012,463
blightstatus,380
click_that_hood,350
promptly,311
open311_java,301
github-tidy,284
311DailyBrief,277
transitmix,270
airwolf,261
OpenCounterWP,255
survey-api,244
CfA_Accelerator,238
trailsy,234
bizfriendly-web,233
peernetwork,231
social-media-handbook,231
colonel-clark,227
bizfriendly-web-staging,227
brigade-alpha,224
cfa_coder_sounds,222
recordtrac,222
citygram,217
lv-trucks-map,209
nsb-mobile,208
straymapper,205
denver-schedules-api,205
three,193
denver-schedules,191
tourserver,190
spot-it-like-its-hot,178
sitemybiz,176
cityvoice,174
primerpeso,171
PLATS,166
howtocity-web,164
message_macon,163
civic-json-worker,163
oakland_answers,149
lexington-qold,148
srtracker,146
hermes-be,138
Transit-Map-in-TileMill,136
display-screen,135
infrastructure-hub,134
councilmatic,134
streetmix-be,131
311labs,124
cfapi,122
bizarro-cms,121
wp-splost,120
sink-the-vote,119
freaky_mustard,117
skillshares,116
trymta,110
Intersection,108
balance,108
bestnest-app,107
hello-dog,106
nsb-public,98
projectmonitor,95
trails-mobile,95
Apps-for-Detroit,93
calfresh-and-so-clean,93
lexington-special-events,91
nsb-mobile-wsu,90
city_developer_resources,88
bizfriendly-api,88
civicsgarden,80
flying_chicken,78
open311status,76
notify-the-msc,74
amiinlv,74
windypie,72
public-services-map,71
congress,69
trailsyserver,69
node-open311,67
georelevent,67
macon,66
engine-light,65
chitools,63
ohhs_Falcon,63
nodetiles,62
ohanakapa-ruby,62
ohana-api-admin,61
office-screen,61
hermes-doc,59
atlanta-procurement-www,58
buildatlanta,56
howtocity-api,55
formbot,51
snapr,51
sa-zone,51
tupac,51
thats-my-bike,51
codeforamerica.org-library,50
adopt-a-siren,49
bestnest-api,48
fcc_reboot,48
OpenReferral,47
311-fm-data,46
Transit2Me,45
skillcamp,44
pet-project,44
US-Census-Area-API,41
nodetiles-core,39
paperstock,38
fast_pass,38
code-island,36
neighborhow-promo,36
jfdicitizen,36
openup,34
procure-io,33
NeighborDiff,33
citizen-onboard,33
citygram-landing,30
cc-mkplc-widget,30
ipdb,30
civic-tech-patterns,29
SPLOST,29
MuniciPal,29
lexington-geocoder,29
howto,29
howtocity,28
mongoprox,27
beta,27
court.atlantaga.gov,27
open311-dashboard-demos,27
Change-By-Us,27
sms_mta,26
food_trucks,26
workparty,26
beyondtransparency,25
civic-issue-finder,25
data-portal-info-collector,25
sheltraustin,25
cfa_banner,24
squaresville,24
code-for-america,24
budgetvis,24
git-jekyll-preview,24
fellow_skills,24
bureaulizer,24
schoolselection,23
alumni,22
github_tracker,22
HasApps,22
futures_pipeline,21
sfpark,21
ohanapi.org,21
open311,21
macon_music,21
commons,21
cityvoice-builder-heroku,21
classtalk,21
synstats,20
atl-procurement-rss,19
BBandXplor,19
windygrid,18
rentfacts-api,18
ripl-console,18
denver-scheduling-api,18
nodetiles-init,18
nodetiles-server,17
healthdatagov-csv-metadata,17
fellow_list,17
DemoDexter,17
naics-api,17
Repository-Observer,16
honolulu-writeathon,16
CutePets,16
OpenTrails,16
Neighborhow,16
Open311Proxy,16
transpochoices,15
geodata-checkout,15
cfa_email_parser,15
direct_employers,15
route_view,15
deployit,15
open311dashboard,15
denver-infographic-template,15
splash,15
intern-game,15
cbu_philly_styling,15
cfa_api,14
housefacts,14
seeclickfix_rb,13
lexington-2014-q1-report,13
hnl-social-media-handbook,13
bongo,12
grunt-nodetiles,12
cfa-orgchart,12
GridMapper,12
mapbox-ios-example,12
socrata-python,12
fips-lookup,12
RedPen,12
heroku-buildpack-pygeo,11
lives-resolver,11
cfa_dashboard,11
touringmachine,11
open-311-api-server,10
ohana-pdf,10
workforamerica,10
hack-requests,10
flying-rhino,10
courtapi,10
hsd_specification,9
wheresmyschoolbus,9
api_gem_template,9
broadband_map_ruby,9
fed_spending_ruby,9
clinical_trials_ruby,9
rails-testing-demo,9
oppcaster-static,9
denver-311,9
maynard,9
ohana-api-dev-box,9
cha-rentfacts,9
node-sparkxml,9
lexington-notify,9
ri-2014-mid-year-report,9
dashboard-widget-demos,9
deepdish,9
snakes_on_a_street,9
crosshack,9
minisummit,8
sa-talk-to-city-official,8
oakland,8
apply,8
atlantamunicipalcourt,8
mta_app,8
codeofconduct,8
ticket-to-ride-imports,8
connect,8
homeroots,8
bourbonplanners,8
GridMapper-Node,7
national_holidays,7
ohhh_snap,7
nyc-compstat-api,7
lexington-citygram-etl,7
localdataWP,6
gem_template,6
sortinghat-theme,6
aids_info_ruby,6
microsoft_open_data_ruby,6
govonym,6
cfa_laptop,6
rentfax-api,6
openbus-api,6
esri_prototypes,6
sheltr,6
codeforamerica.github.com,6
metaportal,6
lexington-geocoder-flask,6
data-catalogues,6
311status,6
city-tech-documentation,6
open311_central,6
hermes-dashboard,5
address-iq,5
hermes-scraper,5
spy_glass,5
hermes,5
criminal_case_search,5
world_bank_ruby,5
cityhow,5
summitbeta,5
hack2-classy-task,5
opentrails-project-ideas,5
chat-mux,5
lv-trucks-notifier,4
rentfacts-app,4
coro-fellows-training,4
lexington-qold-user-testing,4
adopta-campaign-ideas,4
CutePetsDenver,4
ri-group-communication-toolkit,4
nys-inmate-info-scraper,4
barrachomonkey,3
JobOps,3
FellowsExchange,3
311fm,3
supply,3
ripl-splitter,3
CrossHack,3
open_data_catalog,3
dev,3
FCC-PHP-Library,3
address-normalizer,3
codeforall,3
super-mayor,3
courtbot,3
health-project-ideas,3
FCC-Python-Egg,3
flu-shot-spec,3
feedback-form,3
countdown,3
ri-what-can-i-teach-my-parents,3
Open-Data-Catalog,3
Civic-Commons-Marketplace-WP-Widget,3
preklottery,3
ri-multiply-ri-prototype,3
ohana-api-docs,2
opendatacensus,2
railsbridge-slides,2
how-might-we,2
objective_three,2
golden-ticket,2
GeoLookup,2
streetmix-router,2
city-analytics-dashboard,2
chatt-bot,2
south-bend-bus-widget,2
macon-biz-license,2
project-open-data.github.io,2
opensatx.github.io,2
node-gtfs-zip-proxy,2
golden-ticket-console,2
recalls,2
food_inspection_api,2
OpenTrails-Mobile,1
CutiesInDenver,1
blightstatus-homepage,1
santa-cruz-businesses,1
midyear,1
cfa_api_viz,1
shadowbird,1
empire-inmates,1
attendance,1
civicjsonworker,1
campaign-adopta,1
lexington-psa-twitterbot-couchy,1
satxopendata,1
bestnestapp.com,1
adopta,1
cfa_template,1
transitjson,1
geeky_valentines,1
the_decider,1
readme,1
city-analytics-dashboard-setup,1
golden-ticket-splitter,1
ri-pre-k-lottery,1
