JARGON,verb - present,noun,adjective,phrase,proper noun
21st Century City,,21st Century City,,21st Century City,
311DailyBrief,,,,,311DailyBrief
action item,,action item,,,
Adopt-a-Hydrant,,,,,Adopt-a-Hydrant
Airwolf,,,,,Airwolf
ask,,ask,,,
bandwidth,,bandwidth,,,
big data,,big data,,,
big data revolution,,big data revolution,,,
bio break,,bio break,,,
BizFriendly,,capitalism,,,
bleeding edge,,the bleeding edge,bleeding-edge,,
BlightStatus,,,,,
Blockee,,,,,
brigade,,,,,Brigade
buy-in,buy in,buy-in,,,
Calfresh-and-So-Clean,,,,,
capacity,,,,,
capitalism,,,,,
capture,,,,,
catalyze,catalyze,catalyst,catalyzing,,
change agent,,,,,
change leader,,,,,
circle back,,,,,
CityGram,,,,,
CityVoice,,,,,
civic tech,,,,,
Civic-Commons-Marketplace,,,,,
Civics Garden,,,,,
Click That Hood,,,,,
cloud,,,,,
cloud computing,,,,,
code fidelity,,,,,
Code Island,,,,,
Code of Conduct,,,,,
cone,,,,,
core,,,,,
core competency,,,core competent,,
core constituency,,,,,
correlation,correlate,,,,
Councilmatic,,,,,
courtbot,,,,,
CrossHack,,,,,
CutiesIn,,,,cuties in,CutiesIn
data driven decisions,,,,,
data science,,,,,
deep dive,,,,,
deeplink,,,,,
deeplink schemes,,,,,
deep think,,,,,
digital-first communications,,,,,
disruption,disrupt,disruption,disruptive,,Disrupt
doacracy,,,,,
dogfooding,,,,,
due diligence,,,,,
ecosystem,,,,,
emergent outcomes,,,,,
empower,empower,empowerment,,,
engagement,engage,engagement,,,N-Gage
enterprise software,,,,,
Fast Pass,,,,,
feedback mechanisms,,,,,
flash ponder,,,,,
forcing function,,,,,
formbot,,,,,
GeoLookup,,,,,
georelevent,,,,,
github-tidy,,,,,
government as a platform,,,,,
guide,,,,,
hack the process,,,,,
healthcare vertical,,,,,
heavy lift,,,,,
higher fidelity,,,,,
homeroots,,,,,
Honolulu Answers,,,,,
how might we...?,,,,,
Human Services Finder,,,,,
ideate,,,,,
ideation,,,,,
impact,,,,,
inclusive,include,inclusion,inclusive,,
industry disruptor,,,,,
innovation,innovate,,,,
integration,integrate,,,,
iteration,iterate,,,,
JobOps,,,,,
knock it out,,,knockout,,
Landshark,,,,,
launch,launch,launch,launchy,,
learnings,,,,,
let's put that in the parking lot,,,,,
leverage,,,,,
libertarian,,,,,
looping in,,,,,
love bomb,,,,,
low lift,,,,,
maximum viable product,,,,,
metrics,,,,,
minimum viable product,,,,,
move the needle,,,,,
multistakeholderism,,,,,
MuniciPal,,,,,
NeighborDiff,,,,,
Neighborhow,,,,,
net impression,,,,,
net new,,,,,
network,,,,,
nimble,,,,,
non-trivial,,,,,
objective,,,,,
Ohana,,,,,
open,,,,,
open data,,,,,
Open Data Census,,,,,
open government,,,,,
Open-Data-Catalog,,,,,
Open311,,,,,
open311status,,,,,
OpenBlight,,,,,
OpenCounter,,,,,
OpenTrails,,,,,
organic traffic,,,,,
outcomes,,,,,
Peer Network,,,,,
persona,,,,,
personas,,,,,
ping,,,,,
pipeline,,,,,
platform,,,,,
policy,,,,,
prepared.ly,,,,,
PrimerPeso,,,,,
problem statement,,,,,
process,,,,,
procure-io,,,,,
Promptly,,,,,
prong,,,,,
public feedback,,,,,
public input,,,,,
punchlist,,,,,
quotables,,,,,
reason about,,,,,
RecordTrac,,,,,
redeploy,,,,,
redeployment,,,,,
resource,,,,,
return on investment,,,,,
rollup,,,,,
row-sham-bo,,,,,
scale,,,,,
scrum,,,,,
sentiment analysis,,,,,
shadowbird,,,,,
smart cities,,,,,
socialism,,,,,
soft skills,,,,,
soft touch,,,,,
space (as a postfix),,,,,
spectogram,,,,,
spot-it-like-its-hot,,,,,
stand up (create),,,,,
stand up meeting,,,,,
StrayMapper,,,,,
StreetMix,,,,,
super-mayor,,,,,
sustainable,,,,,
sync,,,,,
synergy,,,,,
take it offline,,,,,
Textizen,,,,,
TextYourCity,,,,,
that piece,,,,,
thats-my-bike,,,,,
the funnel,,,,,
theory of change,,,,,
this piece,,,,,
thought leader,,,,,
thought partner,,,,,
throwing thirties,,,,,
Ticket to Ride,,,,,
timebox,,,,,
Trailsy,,,,,
Transit2Me,,,,,
transitjson,,,,,
TransitMix,,,,,
transparency,,,,,
trust the process,,,,,
tutorialscape,,,,,
twinkling fingers,,,,,
usability,,,,,
virtuous cycle,,,,,
webinar,,,,,
Where's My School Bus,,,,,
with not for,,,,,
Work for America,,,,,
